product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/asian-grey-sports-gym-walking-training-stylish-running-shoes-women/p/itm8b461c6433a0b?pid=SHOGPDGUKGYPZNBF&lid=LSTSHOGPDGUKGYPZNBF5HICIW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3spIeFFSeYZgCCLJsBwwWbCu_TDVgse4OTu1w0K_qooOxvKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Grey Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian,799,0.23,4.2,98706
https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-lace-up-style-running/p/itm4d4bf71704096?pid=SHOGUYAAEZSAYQWU&lid=LSTSHOGUYAAEZSAYQWUE6ZNWV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3spFXqb05RUM53r3kTwgv1m9C3wthOvez4Omq5qZmTCJB8DbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Casual Sneaker Shoes For Women | Stylish and Comfortable | Lace-Up Style Running Shoes For Women,asian,773,0.48,4.2,5057
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmdfc93ac187309?pid=SHOHFMMNBRCBBDRU&lid=LSTSHOHFMMNBRCBBDRUXBYLVL&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOHFMMNBRCBBDRU.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE,1158,0.81,4.3,3634
https://www.flipkart.com/asian-mercury-11-navy-sports-gym-walking-training-stylish-running-shoes-women/p/itm9c86b2882cdb8?pid=SHOGPDGU9EVRYWH2&lid=LSTSHOGPDGU9EVRYWH2LRPDC0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3srrDly00nAv66KLjTtBFSTcVCdcTBTfKxIS4CTp1c4s2b3nN5BP0oUQf7sdSRT1im4%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Mercury-11 Navy Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian,799,0.23,4.2,98706
https://www.flipkart.com/asian-sunshine-01-pink-sneakers-casuals-loafers-walking-shoes-women/p/itm9139e7d9187bd?pid=SHOGJ69ZNYWFV53N&lid=LSTSHOGJ69ZNYWFV53NPO8POH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOGJ69ZNYWFV53N.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Sunshine-01 Pink Sneakers,Casuals,Loafers Walking Shoes For Women",asian,659,0.34,4.1,20735
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBQH3XNDNB&lid=LSTSHOGPDFBQH3XNDNBBRIIQR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW7e4QpaFx1ZFfyiF7YxOsGMqVbnbx9H478XfbsxcE1Ws_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian,788,0.24,4.2,98706
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm4e0e244fc79ac?pid=SHOH5GCYXHN6CYUF&lid=LSTSHOH5GCYXHN6CYUFYJ6RHV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW4hKoGBNDxXb1We9X233b8s6PQdFM1kS_k7R-6tzOSbmw%3D%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox,470,0.52,3.4,592
https://www.flipkart.com/avant-reva-running-shoe-breathable-mesh-upper-cushioned-comfort-high-traction-adoptive-shoes-women/p/itm0663889880e2d?pid=SHOHC5GK7NDGXEZQ&lid=LSTSHOHC5GK7NDGXEZQHFNG2X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW5il1cDdI1ZYxwq4li-RGgtu_0g1Ra6LrAFglVEfXLAgvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,Reva Running Shoe Breathable Mesh Upper Cushioned Comfort High Traction Adoptive Running Shoes For Women,AVANT,859,0.33,3.9,119
https://www.flipkart.com/rowlans-100-genuine-durable-comfortable-casual-sport-training-gym-shoes-women/p/itm3a5f8b6f72284?pid=SHOGXGMSACGYWC9T&lid=LSTSHOGXGMSACGYWC9TBEWTF3&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW5aXAbb0dNSx00IlWU3g4npspvncqL3nrGYfW2MG7BMrQ%3D%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,"100% Genuine,Durable,comfortable,Casual Sport Training & Gym Shoes For Women",Rowlans,499,0.75,3.8,137
https://www.flipkart.com/fabbmate-casual-sportshoe-girl-sneakers-women/p/itm13d239387dce2?pid=SHOH2W6ZRWRHXJK8&lid=LSTSHOH2W6ZRWRHXJK8JNPKZH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=ad21d811-ec6c-4f34-a186-d308ad1b0514.SHOH2W6ZRWRHXJK8.SEARCH&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,Casual Sportshoe Girl Sneakers For Women,Fabbmate,447,0.55,4,14918
