product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBQH3XNDNB&lid=LSTSHOGPDFBQH3XNDNBBRIIQR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3spYdQ7RiIqdTZj1t_hN5G5mqVbnbx9H478XfbsxcE1Ws_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian,788,0.24,4.2,98706
https://www.flipkart.com/off-limits-gladiator-w-running-shoes-women/p/itmabedf47379ec7?pid=SHOHBYFZ245DX2HX&lid=LSTSHOHBYFZ245DX2HXHFBGZH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3sqhaPQt0JCdw5__8pDPd5sEdYZlk3Q0LjsUMqqP2Km86g%3D%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,GLADIATOR W Running Shoes For Women,OFF LIMITS,1899,0.7,4.4,30
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itm5b2f4a85a0cf5?pid=SHOHFKMBW92P5TUB&lid=LSTSHOHFKMBW92P5TUBTTYHBK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOHFKMBW92P5TUB.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE,1158,0.81,4.3,3634
https://www.flipkart.com/power-womens-slip-on-sports-shoes-lightweight-comfort-style-running-women/p/itm11ebfc977d98e?pid=SHOHHGR9N8MBXJHH&lid=LSTSHOHHGR9N8MBXJHHUZFBMV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOHHGR9N8MBXJHH.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Power Women’s Slip-On Sports Shoes – Lightweight Comfort & Style Running Shoes For Women,POWER,1699,,,
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm4e0e244fc79ac?pid=SHOH5GCYXHN6CYUF&lid=LSTSHOH5GCYXHN6CYUFYJ6RHV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3sqjeMhhE08hmOo6XzQlkM9FbOd4kE0hC22PH7MLK2s9gQ%3D%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox,470,0.52,3.4,592
https://www.flipkart.com/avant-reva-running-shoe-breathable-mesh-upper-cushioned-comfort-high-traction-adoptive-shoes-women/p/itm0663889880e2d?pid=SHOHC5GK7NDGXEZQ&lid=LSTSHOHC5GK7NDGXEZQHFNG2X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3so5nvXpyoA8bQUgGkhJaHwldKGJJTv6Fmk-3bpc02Atl33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Reva Running Shoe Breathable Mesh Upper Cushioned Comfort High Traction Adoptive Running Shoes For Women,AVANT,859,0.33,3.9,119
https://www.flipkart.com/power-women-lace-up-sports-shoes-comfort-meets-performance-running/p/itmc120aa1cdb652?pid=SHOHHGR9HPEHFVPZ&lid=LSTSHOHHGR9HPEHFVPZQBQON9&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOHHGR9HPEHFVPZ.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Power Women Lace-Up Sports Shoes – Comfort Meets Performance Running Shoes For Women,POWER,3599,,,
https://www.flipkart.com/fabbmate-trendy-sports-walking-memory-foam-running-shoes-women/p/itmc5814f4e2a802?pid=SHOGH3YUZDZYEJ5Q&lid=LSTSHOGH3YUZDZYEJ5Q1PSPNZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_FkPickId_osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOGH3YUZDZYEJ5Q.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Trendy Sports,Walking - Memory Foam Running Shoes For Women",Fabbmate,358,0.55,4,132156
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itm8e33a5a505462?pid=SHOH44BDECDZSPYG&lid=LSTSHOH44BDECDZSPYGURCTL9&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOH44BDECDZSPYG.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Athleisure Shoes for Women | Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE,1461,0.81,4.2,3829
https://www.flipkart.com/abros-ginny-running-shoes-women/p/itm572b7cad7e70e?pid=SHOHF9J97GGGJK4R&lid=LSTSHOHF9J97GGGJK4RVDF9S7&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOHF9J97GGGJK4R.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,GINNY Running Shoes For Women,Abros,835,0.65,4.1,47
